Tarih,Saat,Tüketim Miktarý (MWh)
01.01.2016,00:00:00,2627724
01.01.2016,01:00:00,2499182
01.01.2016,02:00:00,2353261
01.01.2016,03:00:00,2246478
01.01.2016,04:00:00,2200291
01.01.2016,05:00:00,2195708
01.01.2016,06:00:00,2220354
01.01.2016,07:00:00,2184416
01.01.2016,08:00:00,2309473
01.01.2016,09:00:00,2520227
01.01.2016,10:00:00,2722496
01.01.2016,11:00:00,2890804
01.01.2016,12:00:00,2878925
01.01.2016,13:00:00,2936770
01.01.2016,14:00:00,2954832
01.01.2016,15:00:00,2939089
01.01.2016,16:00:00,3073497
01.01.2016,17:00:00,3204802
01.01.2016,18:00:00,3143811
01.01.2016,19:00:00,3072847
01.01.2016,20:00:00,3016614
01.01.2016,21:00:00,2946128
01.01.2016,22:00:00,2924283
01.01.2016,23:00:00,2806909
02.01.2016,00:00:00,2622460
02.01.2016,01:00:00,2470858
02.01.2016,02:00:00,2377158
02.01.2016,03:00:00,2292129
02.01.2016,04:00:00,2287089
02.01.2016,05:00:00,2332563
02.01.2016,06:00:00,2360498
02.01.2016,07:00:00,2402270
02.01.2016,08:00:00,2693048
02.01.2016,09:00:00,3004360
02.01.2016,10:00:00,3210238
02.01.2016,11:00:00,3343189
02.01.2016,12:00:00,3291061
02.01.2016,13:00:00,3288761
02.01.2016,14:00:00,3279618
02.01.2016,15:00:00,3259455
02.01.2016,16:00:00,3335847
02.01.2016,17:00:00,3438795
02.01.2016,18:00:00,3359126
02.01.2016,19:00:00,3264883
02.01.2016,20:00:00,3189773
02.01.2016,21:00:00,3104920
02.01.2016,22:00:00,3090643
02.01.2016,23:00:00,2962109
03.01.2016,00:00:00,2761396
03.01.2016,01:00:00,2577928
03.01.2016,02:00:00,2456631
03.01.2016,03:00:00,2387842
03.01.2016,04:00:00,2351138
03.01.2016,05:00:00,2367232
03.01.2016,06:00:00,2382708
03.01.2016,07:00:00,2340511
03.01.2016,08:00:00,2463872
03.01.2016,09:00:00,2680238
03.01.2016,10:00:00,2877988
03.01.2016,11:00:00,3020430
03.01.2016,12:00:00,3058830
03.01.2016,13:00:00,3090263
03.01.2016,14:00:00,3105647
03.01.2016,15:00:00,3097953
03.01.2016,16:00:00,3229746
03.01.2016,17:00:00,3346296
03.01.2016,18:00:00,3315103
03.01.2016,19:00:00,3245021
03.01.2016,20:00:00,3209393
03.01.2016,21:00:00,3131516
03.01.2016,22:00:00,3101419
03.01.2016,23:00:00,2946206
04.01.2016,00:00:00,2710309
04.01.2016,01:00:00,2543984
04.01.2016,02:00:00,2439507
04.01.2016,03:00:00,2396103
04.01.2016,04:00:00,2386063
04.01.2016,05:00:00,2441847
04.01.2016,06:00:00,2570859
04.01.2016,07:00:00,2745539
04.01.2016,08:00:00,3298207
04.01.2016,09:00:00,3717584
04.01.2016,10:00:00,3860667
04.01.2016,11:00:00,3965957
04.01.2016,12:00:00,3841632
04.01.2016,13:00:00,3927926
04.01.2016,14:00:00,3966198
04.01.2016,15:00:00,3921100
04.01.2016,16:00:00,3976012
04.01.2016,17:00:00,3963329
04.01.2016,18:00:00,3762141
04.01.2016,19:00:00,3595418
04.01.2016,20:00:00,3511412
04.01.2016,21:00:00,3406640
04.01.2016,22:00:00,3368683
04.01.2016,23:00:00,3173354
05.01.2016,00:00:00,2924438
05.01.2016,01:00:00,2763723
05.01.2016,02:00:00,2633578
